=== Oracle gratuit | seed=1 ===
Run: oracle_free__MiniGrid-DoorKey-8x8-v0__seed1__1777317229
  device=cuda, batch=1024, updates=488
  CSV → logs/oracle_free__MiniGrid-DoorKey-8x8-v0__seed1__1777317229.csv
  obs=(64, 64, 3), n_actions=8, query_action=7
  params=67,167,753
[ 110/488] step= 112640 | ep= 5251 | return= 0.874 | guided%= 52.5 | bc=0.0000 | cumQ= 61662 | bc_coef=0.000 | sps=466
[ 120/488] step= 122880 | ep= 5793 | return= 0.867 | guided%= 55.6 | bc=0.0000 | cumQ= 67252 | bc_coef=0.000 | sps=466
[ 130/488] step= 133120 | ep= 6334 | return= 0.869 | guided%= 53.9 | bc=0.0000 | cumQ= 72797 | bc_coef=0.000 | sps=466
[ 140/488] step= 143360 | ep= 6870 | return= 0.875 | guided%= 52.1 | bc=0.0000 | cumQ= 78171 | bc_coef=0.000 | sps=466
[ 150/488] step= 153600 | ep= 7403 | return= 0.874 | guided%= 52.9 | bc=0.0000 | cumQ= 83540 | bc_coef=0.000 | sps=466
[ 160/488] step= 163840 | ep= 7941 | return= 0.867 | guided%= 54.9 | bc=0.0000 | cumQ= 89008 | bc_coef=0.000 | sps=466
[ 170/488] step= 174080 | ep= 8489 | return= 0.877 | guided%= 53.0 | bc=0.0000 | cumQ= 94586 | bc_coef=0.000 | sps=466
[ 180/488] step= 184320 | ep= 9039 | return= 0.871 | guided%= 56.3 | bc=0.0000 | cumQ=100373 | bc_coef=0.000 | sps=466
[ 190/488] step= 194560 | ep= 9609 | return= 0.873 | guided%= 56.3 | bc=0.0000 | cumQ=106186 | bc_coef=0.000 | sps=466
[ 200/488] step= 204800 | ep=10185 | return= 0.876 | guided%= 56.5 | bc=0.0000 | cumQ=111993 | bc_coef=0.000 | sps=466
[ 210/488] step= 215040 | ep=10760 | return= 0.875 | guided%= 57.0 | bc=0.0000 | cumQ=117841 | bc_coef=0.000 | sps=465
[ 220/488] step= 225280 | ep=11323 | return= 0.872 | guided%= 57.1 | bc=0.0000 | cumQ=123661 | bc_coef=0.000 | sps=465
